empresa,cnpj,marcas,dominios,portaria,requerimento,cnpj_basico,cnpj_dv_ok
A2FBR S.A.,56147145000174,BETESPECIAL,betespecial.bet.br,"SPA/MF nº 2.102, de 30 de dezembro de 2024",0067/2024,56147145,True
A2FBR S.A.,56147145000174,BOLSA DE APOSTA,bolsadeaposta.bet.br,"SPA/MF nº 2.101, de 30 de dezembro de 2024",0067/2024,56147145,True
A2FBR S.A.,56147145000174,FULLTBET,fulltbet.bet.br,"SPA/MF nº 2.101, de 30 de dezembro de 2024",0067/2024,56147145,True
A2FBR S.A.,56147145000174,BETBRA,betbra.bet.br,"SPA/MF nº 2.101, de 30 de dezembro de 2024",0067/2024,56147145,True
ALFA ENTRETENIMENTO S.A.,55359927000104,ALFA.BET,alfa.bet.br,"SPA/MF nº 2.100, de 30 de dezembro de 2024",0060/2024,55359927,True
DIGIPLUS BRAZIL INTERACTIVE LTDA,56060798000111,ARENAPLUS,arenaplus.bet.br,"SPA/MF nº 2.099, de 30 de dezembro de 2024",0041/2024,56060798,True
BOA LION S.A.,53837227000152,BETMGM,betmgm.bet.br,"SPA/MF nº 2.098, de 30 de dezembro de 2024",0036/2024,53837227,True
BOA LION S.A.,53837227000152,MGM,mgm.bet.br,"SPA/MF nº 2.098, de 30 de dezembro de 2024",0036/2024,53837227,True
SEGURO BET LTDA,56268974000105,SEGURO BET,seguro.bet.br,"SPA/MF nº 2.097, de 30 de dezembro de 2024",0018/2024,56268974,True
SEGURO BET LTDA,56268974000105,KING PANDA,kingpanda.bet.br,"SPA/MF nº 2.097, de 30 de dezembro de 2024",0018/2024,56268974,True
OIG GAMING BRAZIL LTDA,55459453000172,7GAMES,7games.bet.br,"SPA/MF nº 2.096, de 30 de dezembro de 2024",0015/2024,55459453,True
